Шифр расценки и коды ресурсов,Наименование работ и затрат,Ед. изм.,Unnamed: 3,Наименование СПГЗ,ID,КПГЗ,Единицы измерения
5.3-5202-5-1/1,Устройство бетонного поребрика на бетонном основании,м,1,Устройство бортового камня (элемента сопряжения) на особо охраняемых природных территориях,10570229.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Погонный метр
5.3-5202-5-2/1,Устройство бетонного поребрика на щебеночном основании,м,1,Устройство бортового камня (элемента сопряжения) на особо охраняемых природных территориях,10570229.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Погонный метр
5.3-5202-5-3/1,Устройство поребрика из природного камня на бетонном основании,м,1,Устройство бортового камня (элемента сопряжения) на особо охраняемых природных территориях,10570229.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Погонный метр
5.3-5202-6-1/1,"Устройство монолитного бетонного поребрика (шириной 10 см, высотой 20 см)",м,1,Устройство бортового камня (элемента сопряжения) на особо охраняемых природных территориях,10570229.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Погонный метр
5.3-5202-7-1/1,Установка поребрика из клинкерного кирпича или гончарных брусьев на песчаном основании,м,1,Устройство бортового камня (элемента сопряжения) на особо охраняемых природных территориях,10570229.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Погонный метр
5.3-5202-8-1/1,Мощение площадок и дорог бетонными плитами с заделкой швов цементным раствором,м2,1,Устройство покрытия из плитки (брусчатка) в рамках благоустройства территорий объектов спорта,60046235.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Квадратный метр
5.3-5202-8-2/1,Мощение площадок и дорог бетонными плитами с заделкой швов песком,м2,1,Устройство покрытия из плитки (брусчатка) в рамках благоустройства территорий объектов спорта,60046235.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Квадратный метр
5.3-5202-9-1/1,Мощение площадок и дорог булыжным камнем,м2,1,Устройство покрытия из плитки (брусчатка) в рамках благоустройства территорий объектов спорта,60046235.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Квадратный метр
5.3-5202-9-2/1,Мощение площадок и дорог клинкерным кирпичом,м2,1,Устройство покрытия из плитки (брусчатка) в рамках благоустройства территорий объектов спорта,60046235.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Квадратный метр
5.4-3101-1-1/1,Формовочная обрезка деревьев высотой до 5 м,дерево,1,Формовочная обрезка деревьев в рамках содержания зеленых насаждений,45011668.0,03.07.01.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ,Штука
5.4-3101-1-2/1,Формовочная обрезка деревьев высотой более 5 м,дерево,1,Формовочная обрезка деревьев в рамках содержания зеленых насаждений,45011668.0,03.07.01.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ,Штука
5.4-3103-6-1/1,"Посадка деревьев и кустарников с комом земли, диаметром 0,2 м и высотой 0,15 м, диаметром 0,25 м и высотой 0,2 м",10 шт.,1,Посадка кустарников в рамках капитального ремонта велосипедной инфраструктуры,161165796.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3103-6-2/1,"Посадка деревьев и кустарников с комом земли, диаметром 0,3 м и высотой 0,3 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка кустарников в рамках капитального ремонта велосипедной инфраструктуры,161165796.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3103-6-3/1,"Посадка деревьев и кустарников с комом земли, диаметром 0,5 м и высотой 0,4 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка кустарников в рамках капитального ремонта велосипедной инфраструктуры,161165796.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3103-6-4/1,"Посадка деревьев и кустарников с комом земли, диаметром 0,8 м и высотой 0,6 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка кустарников в рамках капитального ремонта велосипедной инфраструктуры,161165796.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3103-6-5/1,"Посадка деревьев и кустарников с комом земли размером 0,5х0,5х0,4 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка кустарников в рамках капитального ремонта велосипедной инфраструктуры,161165796.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3103-6-6/1,"Посадка деревьев и кустарников с комом земли размером 0,8х0,8х0,5 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка кустарников в рамках капитального ремонта велосипедной инфраструктуры,161165796.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3103-6-7/1,"Посадка деревьев и кустарников с комом земли размером 1,0х1,0х0,6 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка кустарников в рамках капитального ремонта велосипедной инфраструктуры,161165796.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3103-6-8/1,"Посадка деревьев и кустарников с комом земли размером 1,3х1,3х0,6 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка кустарников в рамках капитального ремонта велосипедной инфраструктуры,161165796.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3103-6-9/1,"Посадка деревьев и кустарников с комом земли размером 1,5х1,5х0,65 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка кустарников в рамках капитального ремонта велосипедной инфраструктуры,161165796.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3103-6-10/1,"Посадка деревьев и кустарников с комом земли размером 1,7х1,7х0,65 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка кустарников в рамках капитального ремонта велосипедной инфраструктуры,161165796.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3203-8-1/1,"Посадка многолетних цветников при густоте посадки 1,6 тыс.шт. цветов",100 м2,1,Устройство цветника в рамках обустройства объекта,73918169.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Штука
5.4-3203-10-1/1,Устройство альпинариев и рокариев,100 м2,1,Устройство цветника в рамках обустройства объекта,73918169.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Штука
5.4-3203-20-1/1,"Посадка однолетних цветников из однолетних цветочных культур - летники, виолы при густоте посадки 6 тыс. шт. (без стоимости посадочного материала)",100 м2,1,Устройство цветника в рамках обустройства объекта,73918169.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Штука
5.4-3203-20-2/1,"Посадка однолетних цветников из однолетних цветочных культур - летники, виолы, добавлять или исключать на каждые 1000 шт. высаживаемых цветов к поз. 4-3203-20-1 (без стоимости посадочного материала)",100 м2,1,Устройство цветника в рамках обустройства объекта,73918169.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Штука
5.4-3203-21-1/1,Посадка однолетних цветников из луковичных и клубнелуковичных растений - сплошная посадка при густоте 6 тыс. шт. (без стоимости посадочного материала),100 м2,1,Устройство цветника в рамках обустройства объекта,73918169.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Штука
5.4-3203-21-2/1,"Посадка однолетних цветников из луковичных и клубнелуковичных растений - сплошная посадка, добавлять или исключать на каждые 1000 шт. высаживаемых цветов к поз. 4-3203-21-1 (без стоимости посадочного материала)",100 м2,1,Устройство цветника в рамках обустройства объекта,73918169.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Штука
5.4-3203-21-3/1,Посадка однолетних цветников из луковичных и клубнелуковичных растений - групповая и одиночная посадка (без стоимости посадочного материала),100 шт.,1,Устройство цветника в рамках обустройства объекта,73918169.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Штука
5.4-3405-7-1/1,Полив зеленых насаждений из шланга поливомоечной машины,м3,1,Уход за цветниками (клумбами) на территории объекта культурного наследия,96641205.0,03.07.01.04.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ТЕРРИТОРИЙ ОБЪЕКТОВ КУЛЬТУРНОГО НАСЛЕДИЯ,Квадратный метр
5.4-3405-7-2/1,Полив зеленых насаждений из шланга поливочного водопровода,м3,1,Уход за цветниками (клумбами) на территории объекта культурного наследия,96641205.0,03.07.01.04.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ТЕРРИТОРИЙ ОБЪЕКТОВ КУЛЬТУРНОГО НАСЛЕДИЯ,Квадратный метр
5.4-3405-7-3/1,Полив зеленых насаждений из ведер,м3,1,Уход за цветниками (клумбами) на территории объекта культурного наследия,96641205.0,03.07.01.04.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ТЕРРИТОРИЙ ОБЪЕКТОВ КУЛЬТУРНОГО НАСЛЕДИЯ,Квадратный метр
5.4-3405-21-1/1,Обрезка роз - среднерослых (весенняя),100 кустов,1,Уход за кустарником одиночным и в группе в рамках содержания парков,36091765.0,"03.08.01.06 САНИТАРНОЕ СОДЕРЖАНИЕ И УБОРКА ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Штука
5.4-3405-21-2/1,Обрезка роз - отцветших выборочная (летняя и осенняя обрезки),100 кустов,1,Уход за кустарником одиночным и в группе в рамках содержания парков,36091765.0,"03.08.01.06 САНИТАРНОЕ СОДЕРЖАНИЕ И УБОРКА ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Штука
5.3-3101-2-1/1,Мелкий ремонт металлических ограждений,м2,1,Ремонт шлагбаума в рамках благоустройства территории,91743182.0,02.03.03.07 ОБУСТРОЙСТВО ТЕРРИТОРИЙ СРЕДСТВАМИ ОБЕСПЕЧЕНИЯ ТРАНСПОРТНОЙ БЕЗОПАСНОСТИ,Штука
5.3-3101-2-2/1,Средний ремонт металлических ограждений,м2,1,Ремонт шлагбаума в рамках благоустройства территории,91743182.0,02.03.03.07 ОБУСТРОЙСТВО ТЕРРИТОРИЙ СРЕДСТВАМИ ОБЕСПЕЧЕНИЯ ТРАНСПОРТНОЙ БЕЗОПАСНОСТИ,Штука
5.3-3103-9-1/1,"Устройство бордюра из брусчатки гранитной пилено-колотой, установленной на ребро, вдоль садовых дорожек",100 м,1,Устройство бортового камня в рамках строительства велосипедной инфраструктуры,161166220.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Погонный метр
5.3-3103-9-2/1,"Устройство бордюра из камня природного окатанного, установленного на ребро, вдоль садовых дорожек",100 м,1,Устройство бортового камня в рамках строительства велосипедной инфраструктуры,161166220.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Погонный метр
5.3-3103-9-3/1,"Устройство бордюра из мелкоштучных камней, установленных на ребро, для клумб",100 м,1,Устройство бортового камня в рамках строительства велосипедной инфраструктуры,161166220.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Погонный метр
5.3-3103-11-1/1,Устройство наливного полиуретанового покрытия спортивных площадок и беговых дорожек толщиной 10 мм,100 м2,1,Устройство резинового покрытия спортивной площадки при благоустройстве парков,,,
5.3-3105-12-1/1,Устройство водоотводных лотков из 1/2 асбестоцементных труб диаметром 100 мм на отмостке,10 м,1,Демонтаж ливневой канализации в рамках благоустройства территории,91738375.0,02.03.03.10 ОБУСТРОЙСТВО ТЕРРИТОРИЙ ЭЛЕМЕНТАМИ ИНЖЕНЕРНЫХ КОММУНИКАЦИЙ,Квадратный метр
5.3-3105-12-1/2,Устройство водоотводных лотков из 1/2 асбестоцементных труб диаметром 200 мм на отмостке,10 м,1,Демонтаж ливневой канализации в рамках благоустройства территории,91738375.0,02.03.03.10 ОБУСТРОЙСТВО ТЕРРИТОРИЙ ЭЛЕМЕНТАМИ ИНЖЕНЕРНЫХ КОММУНИКАЦИЙ,Квадратный метр
5.3-3201-2-14/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, домик-беседка (площадь дерева 9,5 м2)",шт.,1,Ремонт малой архитектурной формы из дерева в рамках благоустройства территорий объектов спорта,60046298.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-2-1/1,"Изготовление и установка секций металлического ограждения, калиток, ворот из профилированной трубы, масса секции до 150 кг",м2,1,Устройство ограждения защитного в рамках строительства велосипедной инфраструктуры,161165484.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Погонный метр
5.3-3203-6-4/1,"Установка металлических оград по железобетонным столбам с цоколем из железобетонных панелей из сетчатых панелей высотой до 1,6 м",100 м,1,Замена забора в рамках ремонтно-восстановительных работ на объектах благоустройства,91742522.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука
5.3-3203-6-5/1,Установка металлических оград по железобетонным столбам с цоколем из железобетонных панелей из сетчатых панелей высотой до 2 м (без стоимости монтажных связей),100 м,1,Замена забора в рамках ремонтно-восстановительных работ на объектах благоустройства,91742522.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука
5.3-3203-6-6/1,"Установка металлических оград по железобетонным столбам без цоколя из сетки высотой до 1,7 м (без стоимости монтажных связей)",100 м,1,Замена забора в рамках ремонтно-восстановительных работ на объектах благоустройства,91742522.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука
5.3-3203-6-7/1,"Установка металлических оград по железобетонным столбам без цоколя из сетки высотой до 2,2 м (без стоимости монтажных связей)",100 м,1,Замена забора в рамках ремонтно-восстановительных работ на объектах благоустройства,91742522.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука
5.3-3203-6-8/1,"Установка металлических оград по железобетонным столбам без цоколя из сетчатых панелей высотой до 1,2 м (без стоимости монтажных связей)",100 м,1,Замена забора в рамках ремонтно-восстановительных работ на объектах благоустройства,91742522.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука
5.3-3203-6-9/1,"Установка металлических оград по железобетонным столбам без цоколя из сетчатых панелей высотой до 1,7 м (без стоимости монтажных связей)",100 м,1,Замена забора в рамках ремонтно-восстановительных работ на объектах благоустройства,91742522.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука
5.3-3203-6-10/1,"Установка металлических оград по железобетонным столбам без цоколя из сетчатых панелей высотой до 2,2 м (без стоимости монтажных связей)",100 м,1,Замена забора в рамках ремонтно-восстановительных работ на объектах благоустройства,91742522.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука
5.3-3203-6-11/1,Установка металлических оград по железобетонным столбам из колючей проволоки (без стоимости монтажных связей),100 м,1,Замена забора в рамках ремонтно-восстановительных работ на объектах благоустройства,91742522.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука
5.3-3203-16-1/1,"Установка металлических оград высотой 2 м, шаг стоек 2,67 м с изготовлением секций и стоек из трубчатых профилей",100 м,1,Устройство ограждения защитного в рамках строительства велосипедной инфраструктуры,161165484.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Погонный метр
5.3-3203-16-2/1,"Установка металлических оград высотой 2-2,5 м на металлических стойках, при количестве стоек 38 шт./100 м",100 м,1,Устройство ограждения защитного в рамках строительства велосипедной инфраструктуры,161165484.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Погонный метр
5.3-3203-16-6/1,"Установка чугунных ограждений высотой до 1 м, секции массой до 25 кг, при количестве столбиков 83 шт./100 м",100 м,1,Устройство ограждения защитного в рамках строительства велосипедной инфраструктуры,161165484.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Погонный метр
5.3-3203-16-7/1,"Установка чугунных ограждений высотой до 1 м, секции массой до 50 кг, при количестве столбиков 72 шт./100 м",100 м,1,Устройство ограждения защитного в рамках строительства велосипедной инфраструктуры,161165484.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Погонный метр
5.3-5102-2-1/1,Устройство дренажа из керамических труб диаметром труб 15 см,м,1,Демонтаж дождеприемника в рамках ремонтно-восстановительных работ на объектах благоустройства,91741679.0,02.06.05.03 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ИНЖЕНЕРНЫХ КОММУНИКАЦИЙ ТЕРРИТОРИЙ,Штука
5.3-5102-2-2/1,Устройство дренажа из керамических труб диаметром труб 20 см,м,1,Демонтаж дождеприемника в рамках ремонтно-восстановительных работ на объектах благоустройства,91741679.0,02.06.05.03 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ИНЖЕНЕРНЫХ КОММУНИКАЦИЙ ТЕРРИТОРИЙ,Штука
5.3-5102-2-3/1,Устройство дренажа из керамических труб диаметром труб 25 см,м,1,Демонтаж дождеприемника в рамках ремонтно-восстановительных работ на объектах благоустройства,91741679.0,02.06.05.03 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ИНЖЕНЕРНЫХ КОММУНИКАЦИЙ ТЕРРИТОРИЙ,Штука
5.3-5102-3-1/1,Устройство дренажа из асбестоцементных труб диаметром труб 10 см,м,1,Демонтаж дождеприемника в рамках ремонтно-восстановительных работ на объектах благоустройства,91741679.0,02.06.05.03 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ИНЖЕНЕРНЫХ КОММУНИКАЦИЙ ТЕРРИТОРИЙ,Штука
5.3-5102-3-2/1,Устройство дренажа из асбестоцементных труб диаметром труб 15 см,м,1,Демонтаж дождеприемника в рамках ремонтно-восстановительных работ на объектах благоустройства,91741679.0,02.06.05.03 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ИНЖЕНЕРНЫХ КОММУНИКАЦИЙ ТЕРРИТОРИЙ,Штука
5.3-5102-4-1/1,Устройство лотка из булыжного камня на бетонном основании,м2,1,Демонтаж дождеприемника в рамках ремонтно-восстановительных работ на объектах благоустройства,91741679.0,02.06.05.03 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ИНЖЕНЕРНЫХ КОММУНИКАЦИЙ ТЕРРИТОРИЙ,Штука
5.3-5102-4-2/1,Устройство лотка из булыжного камня на щебеночном основании,м2,1,Демонтаж дождеприемника в рамках ремонтно-восстановительных работ на объектах благоустройства,91741679.0,02.06.05.03 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ИНЖЕНЕРНЫХ КОММУНИКАЦИЙ ТЕРРИТОРИЙ,Штука
5.3-5102-4-3/1,Устройство лотка бетонного,м2,1,Демонтаж дождеприемника в рамках ремонтно-восстановительных работ на объектах благоустройства,91741679.0,02.06.05.03 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ИНЖЕНЕРНЫХ КОММУНИКАЦИЙ ТЕРРИТОРИЙ,Штука
5.3-5202-5-1/1,Устройство бетонного поребрика на бетонном основании,м,1,Устройство бортового камня в рамках благоустройства территории,91741245.0,02.03.03.11 ОБУСТРОЙСТВО ПОКРЫТИЙ И ЭЛЕМЕНТОВ СОПРЯЖЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-5202-5-2/1,Устройство бетонного поребрика на щебеночном основании,м,1,Устройство бортового камня в рамках благоустройства территории,91741245.0,02.03.03.11 ОБУСТРОЙСТВО ПОКРЫТИЙ И ЭЛЕМЕНТОВ СОПРЯЖЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-5202-5-3/1,Устройство поребрика из природного камня на бетонном основании,м,1,Устройство бортового камня в рамках благоустройства территории,91741245.0,02.03.03.11 ОБУСТРОЙСТВО ПОКРЫТИЙ И ЭЛЕМЕНТОВ СОПРЯЖЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-5202-6-1/1,"Устройство монолитного бетонного поребрика (шириной 10 см, высотой 20 см)",м,1,Устройство бортового камня в рамках благоустройства территории,91741245.0,02.03.03.11 ОБУСТРОЙСТВО ПОКРЫТИЙ И ЭЛЕМЕНТОВ СОПРЯЖЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-5202-7-1/1,Установка поребрика из клинкерного кирпича или гончарных брусьев на песчаном основании,м,1,Устройство бортового камня в рамках благоустройства территории,91741245.0,02.03.03.11 ОБУСТРОЙСТВО ПОКРЫТИЙ И ЭЛЕМЕНТОВ СОПРЯЖЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-5202-8-1/1,Мощение площадок и дорог бетонными плитами с заделкой швов цементным раствором,м2,1,Устройство покрытия из плитки (брусчатка) в рамках благоустройства территорий учреждений образования,59116649.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Квадратный метр
5.3-5202-8-2/1,Мощение площадок и дорог бетонными плитами с заделкой швов песком,м2,1,Устройство покрытия из плитки (брусчатка) в рамках благоустройства территорий учреждений образования,59116649.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Квадратный метр
5.3-5202-9-1/1,Мощение площадок и дорог булыжным камнем,м2,1,Устройство покрытия из плитки (брусчатка) в рамках благоустройства территорий учреждений образования,59116649.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Квадратный метр
5.3-5202-9-2/1,Мощение площадок и дорог клинкерным кирпичом,м2,1,Устройство покрытия из плитки (брусчатка) в рамках благоустройства территорий учреждений образования,59116649.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Квадратный метр
5.4-3103-6-1/1,"Посадка деревьев и кустарников с комом земли, диаметром 0,2 м и высотой 0,15 м, диаметром 0,25 м и высотой 0,2 м",10 шт.,1,Посадка кустарников в рамках компенсационного озеленения,97080516.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Штука
5.4-3103-6-2/1,"Посадка деревьев и кустарников с комом земли, диаметром 0,3 м и высотой 0,3 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка кустарников в рамках компенсационного озеленения,97080516.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Штука
